CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed
16900117W10,2014,117 E SEVENTH ST,03-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,03-28-2014,true
03291047W3,2014,1047 CARNEAL RD,03-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-11-2014,true
27560252W3,2014,252 PLEASANT POINTE DR,03-18-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-23-2014,true
17190746W3,2014,746 SHROPSHIRE AVE,03-18-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-04-2014,true
06531252W22,2014,1252 EMBRY AVE,03-19-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-16-2014,true
17190424W3,2014,424 SHROPSHIRE AVE,03-19-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-09-2014,true
06381496W7,2014,1496 ELIZABETH ST,03-20-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-10-2014,true
32420616W13,2014,616 SMUGGLERS NOTCH DR,03-20-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-08-2014,true
13910169W15,2014,169 NEWCASTLE ST,03-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-03-2014,true
11100709W18,2014,709 LAKEVIEW DR,03-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-08-2014,true
15923644W3,2014,3644 REMORA DR,03-25-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-16-2014,true
07360301W18,2014,301 E FOURTH ST,03-25-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-14-2014,true
05810407W15,2014,407 DOUGLAS AVE,03-27-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-14-2014,true
02290452W19,2014,452 BRADLEY CT,03-28-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-22-2014,true
02900914W6,2014,914 BYARS AVE,03-28-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-23-2014,true
05580245-247W4,2014,245-247 DEVONIA AVE,03-28-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-06-2014,true
07834130W20,2014,4130 GEORGETOWN RD,03-31-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-22-2014,true
18980192W9,2014,192 E TIVERTON WAY,03-31-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-21-2014,true
03641260W11,2014,1260 CENTRE PKWY (AKA 1262 CENTRE PKWY),04-02-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-28-2014,true
03641208W12,2014,1208 CENTRE PKWY,04-02-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-22-2014,true
03641284W23,2014,1284 CENTRE PKWY,04-02-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-27-2014,true
16900187-189W7,2014,187-189 E SEVENTH ST,04-02-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-17-2014,true
06170196W4,2014,196 EDDIE ST,04-02-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-18-2014,true
36321202W5,2014,1202 OLD MAIN ST,04-03-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-07-2014,true
01610152W4,2014,152 BELT LINE AVE,04-04-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-23-2014,true
32210815W13,2014,815 NEWTOWN PIKE,04-07-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-23-2014,true
42491304W4,2014,1304 HARRINGTON CT,04-08-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-13-2014,true
06442408W5,2014,2408 ELKWOOD CT,04-08-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-24-2014,true
06442409W2,2014,2409 ELKWOOD CT,04-08-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-24-2014,true
06400621W6,2014,621 ELK LAKE DR,04-08-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-30-2014,true
15892529W2,2014,2529 REGENCY RD,04-10-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-06-2014,true
03910463W13,2014,463 CHESTNUT ST,04-10-2014,Nuisance,Nuisance Closed w/Civil Penalty,04-23-2014,true
03740834W19,2014,834 CHARLES AVE,04-14-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-12-2014,true
08274512W13,2014,4512 GRAVES DR,04-14-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-01-2014,true
03343397W3,2014,3397 CARRIAGE LN,04-14-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-02-2014,true
16730248W8,2014,248 SAVOY RD,04-15-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-08-2014,true
07360301W19,2014,301 E FOURTH ST,04-15-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-23-2014,true
02671651W11,2014,1651 BRYAN STATION RD,04-17-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-04-2014,true
05100710W11,2014,710 DAKOTA ST,04-17-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-12-2014,true
16900187-189W8,2014,187-189 E SEVENTH ST,04-18-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-06-2014,true
16900195W10,2014,195 E SEVENTH ST,04-18-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-06-2014,true
06170188W5,2014,188 EDDIE ST,04-18-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-06-2014,true
12390321W2,2014,321 MANHATTAN DR,04-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-12-2014,true
17341004W12,2014,1004 SLASHES RD,04-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-08-2014,true
17740150W3,2014,150 ST ANN DR,04-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-12-2014,true
11601601W13,2014,1601 LIBERTY RD,04-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-19-2014,true
27091205W3,2014,1205 CROWN CIR,04-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-07-2014,true
13080458W12,2014,458 MICHIGAN ST,04-22-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-19-2014,true
31170710W15,2014,710 GOLFVIEW DR,04-22-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-09-2014,true
31170719W20,2014,719 GOLFVIEW DR,04-22-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-09-2014,true
32210815W14,2014,815 NEWTOWN PIKE,04-24-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-12-2014,true
11601012W11,2014,1012 LIBERTY RD,04-24-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-12-2014,true
12991151W5,2014,1151 MEREWOOD DR,04-24-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-26-2014,true
20872160W32,2014,2160 WINTERBERRY DR,04-25-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-13-2014,true
10273804W4,2014,3804 JOSHUA CIR,04-28-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-27-2014,true
07140720W23,2014,720 FLORIDA ST,04-28-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-19-2014,true
18963401W6,2014,3401 TISHOFF CT,04-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-19-2014,true
17523362W13,2014,3362 SPANGLER DR,04-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-22-2014,true
05681358W6,2014,1358 DIX DR,04-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-06-2014,true
13800353W11,2014,353 NELSON AVE,04-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-19-2014,true
14200327W5,2014,327 OHIO ST,04-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-23-2014,true
03910347W4,2014,347 CHESTNUT ST,04-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-27-2014,true
12721060W11,2014,1060 MAYWICK DR,05-01-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-28-2014,true
16562120W5,2014,2120 SAGE RD,05-01-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-05-2014,true
05111417W8,2014,1417 DALE DR,05-02-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-28-2014,true
02840102W11,2014,102 BURLEY AVE,05-05-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-21-2014,true
35200234W10,2014,234 MOUSAS WAY,05-05-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-21-2014,true
10040137W4,2014,137 JAMES CT,05-05-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-09-2014,true
14981908W16,2014,1908 PICADILLY ST,05-06-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-22-2014,true
36090551W17,2014,551 VINCENT WAY,05-06-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-23-2014,true
01101855W3,2014,1855 BALFOUR DR,05-06-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-28-2014,true
14600317W8,2014,317 PARK AVE,05-06-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-29-2014,true
09072032W14,2014,2032 HEATHER WAY,05-06-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-03-2014,true
16441004W8,2014,1004 ROYAL AVE,05-06-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-23-2014,true
00272278W4,2014,2278 ALLEN DR,05-07-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-23-2014,true
20300218W5,2014,218 WESTWOOD CT,05-07-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-27-2014,true
03100816W8,2014,816 CAMPBELL LN,05-07-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-23-2014,true
08274512W14,2014,4512 GRAVES DR,05-07-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-10-2014,true
18601088W4,2014,1088 TATESBROOK DR,05-07-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-04-2014,true
12490307W3,2014,307 MARIEMONT DR,05-08-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-27-2014,true
18790545W15,2014,545 E THIRD ST,05-08-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-23-2014,true
19440615W9,2014,615 N UPPER ST,05-09-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-10-2014,true
17070549W12,2014,549 SHELBY ST,05-09-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-16-2014,true
03740834W20,2014,834 CHARLES AVE,05-12-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-30-2014,true
32210815W15,2014,815 NEWTOWN PIKE,05-12-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-02-2014,true
17670479W4,2014,479 SPRINGHILL DR,05-12-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-02-2014,true
32420616W14,2014,616 SMUGGLERS NOTCH DR,05-12-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-18-2014,true
12230661W13,2014,661 MAGNOLIA AVE,05-12-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-27-2014,true
20872128W16,2014,2128 WINTERBERRY DR,05-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-18-2014,true
09530545W10,2014,545 HOLLYHILL DR,05-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-03-2014,true
03641108W5,2014,1108 CENTRE PKWY,05-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-02-2014,true
00340286W23,2014,286 AMERICAN AVE,05-14-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-05-2014,true
09651240W7,2014,1240 HOT SPRINGS CT,05-15-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-02-2014,true
04913636W9,2014,3636 CROSBY DR,05-15-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-11-2014,true
09651244W7,2014,1244 HOT SPRINGS CT,05-15-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-26-2014,true
21273199W29,2014,3199 YELLOWSTONE PKWY,05-16-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-13-2014,true
28911878W3,2014,1878 TIMBER CREEK DR,05-19-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-17-2014,true
18710708-710W3,2014,708-710 TERRACE VIEW DR,05-20-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-02-2014,true
02502275W17,2014,2275 N BROADWAY,05-20-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-02-2014,true
04200386W16,2014,386 CLEARWOOD CT,05-20-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-17-2014,true
34450227W2,2014,227 SIMBA WAY,05-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,05-27-2014,true
34450211W3,2014,211 SIMBA WAY,05-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-10-2014,true
34472828W3,2014,2828 HANNA PL,05-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-10-2014,true
34472831W2,2014,2831 HANNA PL,05-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-10-2014,true
34450231W2,2014,231 SIMBA WAY,05-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-10-2014,true
16900441W24,2014,441 E SEVENTH ST,05-22-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-09-2014,true
12240721W13,2014,721 MAGOFFIN ST,05-22-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-29-2014,true
00610218W15,2014,218 ARLINGTON AVE,05-23-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-20-2014,true
31170719W21,2014,719 GOLFVIEW DR,05-27-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-13-2014,true
12680826W24,2014,826 W MAXWELL ST,05-27-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-18-2014,true
12721060W12,2014,1060 MAYWICK DR,05-28-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-13-2014,true
01101855W4,2014,1855 BALFOUR DR,05-29-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-16-2014,true
13971907W7,2014,1907 NICHOLASVILLE RD,05-29-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-16-2014,true
14600425W14,2014,425 PARK AVE,05-29-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-23-2014,true
35702145W2,2014,2145 SHAKER RUN RD,06-02-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-20-2014,true
09651240W8,2014,1240 HOT SPRINGS CT,06-02-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-30-2014,true
08610108W14,2014,108 HAGERMAN CT,06-04-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-23-2014,true
05342000W13,2014,2000 DEAUVILLE DR,06-05-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-27-2014,true
00231292W5,2014,1292 ALEXANDRIA DR,06-05-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-09-2014,true
00231294W10,2014,1294 ALEXANDRIA DR,06-05-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-09-2014,true
06080206W7,2014,206 EASTERN AVE,06-05-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-07-2014,true
19601419-1427W6,2014,1419-1427 VERSAILLES RD,06-09-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-25-2014,true
20300220W14,2014,220 WESTWOOD CT,06-09-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-26-2014,true
08040141W11,2014,141 GLENN PL,06-10-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-25-2014,true
19462862W6,2014,2862 UTTINGER LN,06-11-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-26-2014,true
19890626W7,2014,626 N MARTIN LUTHER KING BLVD,06-11-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-03-2014,true
20104017W3,2014,4017 WEBER WAY,06-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-06-2014,true
01383804W2,2014,3804 BAY MEADOWS CT,06-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-16-2014,true
30430207W4,2014,207 BOLSER AVE,06-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-09-2014,true
03270176W9,2014,176 CARLISLE AVE,06-13-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-10-2014,true
16290392W6,2014,392 ROOSEVELT BLVD,06-16-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-30-2014,true
06650500-502W6,2014,500-502 EUCLID AVE,06-17-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-03-2014,true
29942565W11,2014,2565 CASHEL CT,06-17-2014,Nuisance,Nuisance Closed w/Civil Penalty,06-30-2014,true
04200386W17,2014,386 CLEARWOOD CT,06-17-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-11-2014,true
28911878W4,2014,1878 TIMBER CREEK DR,06-17-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-04-2014,true
03910415W6,2014,415 CHESTNUT ST,06-18-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-22-2014,true
15430400W12,2014,400 PRICE RD,06-23-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-10-2014,true
14353583W3,2014,3583 OLYMPIA RD,06-23-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-14-2014,true
19171393W5,2014,1393 TRENT BLVD,06-24-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-14-2014,true
11660535W15,2014,535 N LIMESTONE,06-24-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-09-2014,true
19601419-1427W7,2014,1419-1427 VERSAILLES RD,06-25-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-10-2014,true
34450209W7,2014,209 SIMBA WAY,06-25-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-11-2014,true
32462016W4,2014,2016 CORNERSTONE DR,06-25-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-14-2014,true
17190711W11,2014,711 SHROPSHIRE AVE,06-26-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-07-2014,true
00100700W3,2014,700 ADDISON AVE,06-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-12-2014,true
06650815-817W3,2014,815-817 EUCLID AVE,06-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-21-2014,true
00483625W3,2014,3625 APPIAN WAY,06-30-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-18-2014,true
06540400W6,2014,400 EMERSON DR,07-01-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-21-2014,true
05342000W14,2014,2000 DEAUVILLE DR,07-03-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-18-2014,true
39994620W2,2014,4620 MARCUS TRL,07-07-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-23-2014,true
27660373W7,2014,373 CHASE PL,07-07-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-23-2014,true
16113608W13,2014,3608 RIVER PARK DR,07-08-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-24-2014,true
06080206W8,2014,206 EASTERN AVE,07-09-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-04-2014,true
06531252W23,2014,1252 EMBRY AVE,07-10-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-12-2014,true
07840655W12,2014,655 GEORGETOWN ST,07-11-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-18-2014,true
19601419-1427W8,2014,1419-1427 VERSAILLES RD,07-11-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-05-2014,true
04172216W11,2014,2216 CLAYS MILL RD,07-14-2014,Nuisance,Nuisance Closed w/Civil Penalty,07-31-2014,true
01101855W5,2014,1855 BALFOUR DR,07-16-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-14-2014,true
05411400W4,2014,1400 DELAWARE AVE,07-17-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-05-2014,true
06001847W11,2014,1847 DUNKIRK DR,07-21-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-08-2014,true
03910424W5,2014,424 CHESTNUT ST,07-22-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-08-2014,true
12670271W15,2014,271 E MAXWELL ST,07-23-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-11-2014,true
14090130W8,2014,130 NORTHWOOD DR,07-24-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-11-2014,true
15923621W11,2014,3621 REMORA DR,07-24-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-13-2014,true
34492800W7,2014,2800 RYAN CIR,07-25-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-05-2014,true
11700300W6,2014,300 LINCOLN AVE,07-29-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-13-2014,true
03460267W13,2014,267 CASTLEWOOD DR,08-11-2014,Nuisance,Nuisance Closed w/Civil Penalty,08-14-2014,true
31341202-1204W3,2014,1202-1204 ACCORD DR,04-02-2014,Nuisance,Nuisance w/Civil Penalty,04-08-2014,false
12680841W10,2014,841 W MAXWELL ST,05-27-2014,Nuisance,Nuisance w/Civil Penalty,05-28-2014,false
04121149W3,2014,1149 CLARIDGE DR,05-27-2014,Nuisance,Nuisance w/Civil Penalty,06-05-2014,false
21630816W2,2014,816 SHELBY AVE,05-27-2014,Nuisance,Nuisance w/Civil Penalty,06-10-2014,false
06481030W2,2014,1030 ELMENDORF DR,06-12-2014,Nuisance,Nuisance w/Civil Penalty,07-09-2014,false
04931040W19,2014,1040 CROSS KEYS RD (AROUND UNIT 43),06-25-2014,Nuisance,Nuisance w/Civil Penalty,06-27-2014,false
15811200W14,2014,1200 RED MILE RD,07-02-2014,Nuisance,Nuisance w/Civil Penalty,07-03-2014,false
02593515W2,2014,3515 BROOKVIEW DR,07-07-2014,Nuisance,Nuisance w/Civil Penalty,08-12-2014,false
00232040W9,2014,2040 ALEXANDRIA DR,07-09-2014,Nuisance,Nuisance w/Civil Penalty,07-10-2014,false
04200386W18,2014,386 CLEARWOOD CT,07-11-2014,Nuisance,Nuisance w/Civil Penalty,07-22-2014,false
08040141W12,2014,141 GLENN PL,07-17-2014,Nuisance,Nuisance w/Civil Penalty,07-22-2014,false
09520989W5,2014,989 HOLLY SPRINGS DR,07-21-2014,Nuisance,Nuisance w/Civil Penalty,07-22-2014,false
07473417W3,2014,3417 FRASERDALE DR,07-21-2014,Nuisance,Nuisance w/Civil Penalty,07-23-2014,false
31170722W7,2014,722 GOLFVIEW DR,07-22-2014,Nuisance,Nuisance w/Civil Penalty,07-23-2014,false
02660837W19,2014,837 BRYAN AVE,07-28-2014,Nuisance,Nuisance w/Civil Penalty,07-28-2014,false
12040661W16,2014,661 E LOUDON AVE,07-28-2014,Nuisance,Nuisance w/Civil Penalty,07-30-2014,false
00430536-538W3,2014,536-538 ANNISTON DR,07-29-2014,Nuisance,Nuisance w/Civil Penalty,07-30-2014,false
08990441-445W8,2014,441-445 HAWKINS AVE,07-29-2014,Nuisance,Nuisance w/Civil Penalty,07-29-2014,false
19430211W28,2014,211 UNIVERSITY AVE,07-30-2014,Nuisance,Nuisance w/Civil Penalty,07-31-2014,false
12240721W14,2014,721 MAGOFFIN ST,07-30-2014,Nuisance,Nuisance w/Civil Penalty,07-30-2014,false
09820172W3,2014,172 IDLE HOUR DR,08-04-2014,Nuisance,Nuisance w/Civil Penalty,08-05-2014,false
03641248W8,2014,1248 CENTRE PKWY,08-04-2014,Nuisance,Nuisance w/Civil Penalty,08-05-2014,false
16900171-173W16,2014,171-173 E SEVENTH ST,08-04-2014,Nuisance,Nuisance w/Civil Penalty,08-05-2014,false
06080206W9,2014,206 EASTERN AVE,08-04-2014,Nuisance,Nuisance w/Civil Penalty,08-05-2014,false
19171207W8,2014,1207 TRENT BLVD,08-05-2014,Nuisance,Nuisance w/Civil Penalty,08-11-2014,false
09240640W2,2014,640 HIDDEN POINT DR,08-05-2014,Nuisance,Nuisance w/Civil Penalty,08-15-2014,false
02193462W2,2014,3462 BOSTON RD,08-06-2014,Nuisance,Nuisance w/Civil Penalty,08-07-2014,false
07852107W6,2014,2107 GEORGIAN WAY,08-06-2014,Nuisance,Nuisance w/Civil Penalty,08-07-2014,false
20104017W4,2014,4017 WEBER WAY,08-06-2014,Nuisance,Nuisance w/Civil Penalty,08-07-2014,false
02750369W7,2014,369 BUCOTO CT,08-06-2014,Nuisance,Nuisance w/Civil Penalty,08-07-2014,false
17531107W5,2014,1107 SPARKS RD,08-07-2014,Nuisance,Nuisance w/Civil Penalty,08-08-2014,false
03900752W3,2014,752 CHERYL LN,08-11-2014,Nuisance,Nuisance w/Civil Penalty,08-12-2014,false
04173326W2,2014,3326 CLAYS MILL RD,08-11-2014,Nuisance,Nuisance w/Civil Penalty,08-12-2014,false
06381505W4,2014,1505 ELIZABETH ST,08-11-2014,Nuisance,Nuisance w/Civil Penalty,08-12-2014,false
06470621W12,2014,621 ELM TREE LN,08-11-2014,Nuisance,Nuisance w/Civil Penalty,08-13-2014,false
00100700W4,2014,700 ADDISON AVE,08-12-2014,Nuisance,Nuisance w/Civil Penalty,08-13-2014,false
32420616W16,2014,616 SMUGGLERS NOTCH DR,08-12-2014,Nuisance,Nuisance w/Civil Penalty,08-12-2014,false
27433684W6,2014,3684 COTTAGE CIR,08-13-2014,Nuisance,Nuisance w/Civil Penalty,08-14-2014,false
02041479W4,2014,1479 BOARDWALK,08-13-2014,Nuisance,Nuisance w/Civil Penalty,08-13-2014,false
01461916W8,2014,1916 BEACON HILL RD,08-14-2014,Nuisance,Nuisance w/Civil Penalty,08-15-2014,false
00340332W11,2014,332 AMERICAN AVE,08-14-2014,Nuisance,Nuisance w/Civil Penalty,08-15-2014,false
22553705W10,2014,3705 ST CLAIR CT,08-14-2014,Nuisance,Nuisance w/Civil Penalty,08-15-2014,false
07020316W3,2014,316 E FIFTH ST,08-18-2014,Nuisance,Nuisance w/Civil Penalty,08-15-2014,false
06442404W2,2014,2404 ELKWOOD CT,02-20-2014,Nuisance,Appealed-Nuisance,02-25-2014,false
01290361W4,2014,361 BASSETT AVE,03-11-2014,Nuisance,Appealed-Nuisance,03-12-2014,false
03042017-2025W8,2014,2017-2025 CAMBRIDGE DR,03-19-2014,Nuisance,Appealed-Nuisance,03-21-2014,false
06470619W5,2014,619 ELM TREE LN,03-20-2014,Nuisance,Appealed-Nuisance,04-17-2014,false
11751661W7,2014,1661 LINDY LN,03-24-2014,Nuisance,Appealed-Nuisance,03-25-2014,false
23480882W2,2014,882 WYNDHAM HILLS DR,03-25-2014,Nuisance,Appealed-Nuisance,03-31-2014,false
21140708W9,2014,708 WOODWARD LN,04-01-2014,Nuisance,Appealed-Nuisance,04-08-2014,false
11601007W11,2014,1007 LIBERTY RD,04-09-2014,Nuisance,Appealed-Nuisance,04-10-2014,false
13800351W23,2014,351 NELSON AVE,04-15-2014,Nuisance,Appealed-Nuisance,04-11-2014,false
14380266W17,2014,266 OSAGE CT,04-18-2014,Nuisance,Appealed-Nuisance,04-21-2014,false
02073609W3,2014,3609 BOLD BIDDER DR,04-23-2014,Nuisance,Appealed-Nuisance,04-25-2014,false
17100204W3,2014,204 SHERMAN AVE,04-24-2014,Nuisance,Appealed-Nuisance,04-25-2014,false
11601725W,2014,1725 LIBERTY RD,04-30-2014,Nuisance,Appealed-Nuisance,06-06-2014,false
19243869W3,2014,3869 TROUT CT,05-02-2014,Nuisance,Appealed-Nuisance,05-05-2014,false
12450999W18,2014,999 MARCELLUS DR,05-06-2014,Nuisance,Appealed-Nuisance,05-09-2014,false
36321202W6,2014,1202 OLD MAIN ST,05-07-2014,Nuisance,Appealed-Nuisance,05-07-2014,false
36321200W4,2014,1200 OLD MAIN ST,05-07-2014,Nuisance,Appealed-Nuisance,05-07-2014,false
04960200W5,2014,200 CROSSFIELD PL,05-07-2014,Nuisance,Appealed-Nuisance,05-19-2014,false
17740186W2,2014,186 ST ANN DR,05-09-2014,Nuisance,Appealed-Nuisance,05-12-2014,false
32812117W2,2014,2117 SOVEREIGN LN,05-12-2014,Nuisance,Appealed-Nuisance,06-02-2014,false
